,Unnamed: 0,frame,sarc_id,x,y,length,width,angle,zdiscs,Length_microns
215,215,11,17,,,,,,"29,32",
216,216,0,18,,,,,,"30,31",
217,217,1,18,218.91582198708065,384.6652722088085,5.26184080154165,5.306554800474859,2.553458665960888,"30,31",1.641694330080995
218,218,2,18,,,,,,"30,31",
219,219,3,18,,,,,,"30,31",
220,220,4,18,,,,,,"30,31",
221,221,5,18,,,,,,"30,31",
222,222,6,18,,,,,,"30,31",
223,223,7,18,,,,,,"30,31",
224,224,8,18,,,,,,"30,31",
225,225,9,18,,,,,,"30,31",
226,226,10,18,,,,,,"30,31",
227,227,11,18,,,,,,"30,31",
228,228,0,19,,,,,,"31,33",
229,229,1,19,222.30558405986116,388.5541004367377,5.1439929104590405,6.185424263340385,2.292880756171357,"31,33",1.6049257880632206
230,230,2,19,,,,,,"31,33",
231,231,3,19,,,,,,"31,33",
232,232,4,19,,,,,,"31,33",
233,233,5,19,,,,,,"31,33",
234,234,6,19,,,,,,"31,33",
235,235,7,19,,,,,,"31,33",
236,236,8,19,,,,,,"31,33",
237,237,9,19,,,,,,"31,33",
238,238,10,19,,,,,,"31,33",
239,239,11,19,,,,,,"31,33",
240,240,0,20,,,,,,"32,35",
241,241,1,20,224.5361739376991,382.05679164149177,5.588770630383901,3.098518208676253,2.353959055837377,"32,35",1.7436964366797771
242,242,2,20,,,,,,"32,35",
243,243,3,20,,,,,,"32,35",
244,244,4,20,,,,,,"32,35",
245,245,5,20,,,,,,"32,35",
246,246,6,20,,,,,,"32,35",
247,247,7,20,,,,,,"32,35",
248,248,8,20,,,,,,"32,35",
249,249,9,20,,,,,,"32,35",
250,250,10,20,,,,,,"32,35",
251,251,11,20,,,,,,"32,35",
252,252,0,21,,,,,,"33,36",
253,253,1,21,226.2313011975503,392.0027827614334,5.306788585985702,5.37285862177269,2.2903517194774112,"33,36",1.655718038827539
254,254,2,21,,,,,,"33,36",
255,255,3,21,,,,,,"33,36",
256,256,4,21,,,,,,"33,36",
257,257,5,21,,,,,,"33,36",
258,258,6,21,,,,,,"33,36",
259,259,7,21,,,,,,"33,36",
260,260,8,21,,,,,,"33,36",
261,261,9,21,,,,,,"33,36",
262,262,10,21,,,,,,"33,36",
263,263,11,21,,,,,,"33,36",
264,264,0,22,,,,,,"35,37",
265,265,1,22,228.67185986911352,386.05344961750535,5.91498075507295,3.4754958431214757,2.325061396855413,"35,37",1.8454739955827604
266,266,2,22,,,,,,"35,37",
267,267,3,22,,,,,,"35,37",
268,268,4,22,,,,,,"35,37",
269,269,5,22,,,,,,"35,37",
270,270,6,22,,,,,,"35,37",
271,271,7,22,,,,,,"35,37",
272,272,8,22,,,,,,"35,37",
273,273,9,22,,,,,,"35,37",
274,274,10,22,,,,,,"35,37",
275,275,11,22,,,,,,"35,37",
276,276,0,23,,,,,,"36,38",
277,277,1,23,230.19712050523384,395.9651715190379,5.926899208780893,3.860205711779006,2.414319939017712,"36,38",1.8491925531396385
278,278,2,23,,,,,,"36,38",
279,279,3,23,,,,,,"36,38",
280,280,4,23,,,,,,"36,38",
281,281,5,23,,,,,,"36,38",
282,282,6,23,,,,,,"36,38",
283,283,7,23,,,,,,"36,38",
284,284,8,23,,,,,,"36,38",
285,285,9,23,,,,,,"36,38",
286,286,10,23,,,,,,"36,38",
287,287,11,23,,,,,,"36,38",
288,288,0,24,,,,,,"37,40",
289,289,1,24,232.63345693804104,390.1015740044579,5.4240085454487845,3.33386973909256,2.41273078445471,"37,40",1.6922906661800208
290,290,2,24,,,,,,"37,40",
291,291,3,24,,,,,,"37,40",
292,292,4,24,,,,,,"37,40",
293,293,5,24,,,,,,"37,40",
294,294,6,24,,,,,,"37,40",
295,295,7,24,,,,,,"37,40",
296,296,8,24,,,,,,"37,40",
297,297,9,24,,,,,,"37,40",
298,298,10,24,,,,,,"37,40",
299,299,11,24,,,,,,"37,40",
300,300,0,25,,,,,,"39,41",
301,301,1,25,236.0596415689143,384.3015423053384,5.21382870335439,3.3189869142719743,2.2833934890703103,"39,41",1.6267145554465698
302,302,2,25,,,,,,"39,41",
303,303,3,25,,,,,,"39,41",
304,304,4,25,,,,,,"39,41",
305,305,5,25,,,,,,"39,41",
306,306,6,25,,,,,,"39,41",
307,307,7,25,,,,,,"39,41",
308,308,8,25,,,,,,"39,41",
309,309,9,25,,,,,,"39,41",
310,310,10,25,,,,,,"39,41",
311,311,11,25,,,,,,"39,41",
312,312,0,26,,,,,,"40,42",
313,313,1,26,236.21060310930156,394.3249500975281,5.649013624905257,3.0430011816981386,2.4639290021981064,"40,42",1.7624922509704404
314,314,2,26,,,,,,"40,42",
315,315,3,26,,,,,,"40,42",
316,316,4,26,,,,,,"40,42",
317,317,5,26,,,,,,"40,42",
318,318,6,26,,,,,,"40,42",
319,319,7,26,,,,,,"40,42",
320,320,8,26,,,,,,"40,42",
321,321,9,26,,,,,,"40,42",
322,322,10,26,,,,,,"40,42",
323,323,11,26,,,,,,"40,42",
324,324,0,27,,,,,,"41,44",
325,325,1,27,240.0252088695348,388.00684485836285,5.648241025227126,3.7351052080727434,2.35817153434375,"41,44",1.7622511998708632
326,326,2,27,,,,,,"41,44",
327,327,3,27,,,,,,"41,44",
328,328,4,27,,,,,,"41,44",
329,329,5,27,,,,,,"41,44",
330,330,6,27,,,,,,"41,44",
331,331,7,27,,,,,,"41,44",
332,332,8,27,,,,,,"41,44",
333,333,9,27,,,,,,"41,44",
334,334,10,27,,,,,,"41,44",
335,335,11,27,,,,,,"41,44",
336,336,0,28,,,,,,"42,43",
337,337,1,28,237.6804886560317,399.2376325058092,5.457862751753141,3.032475776031074,0.1105276268773951,"42,43",1.70285317854698
338,338,2,28,,,,,,"42,43",
339,339,3,28,,,,,,"42,43",
340,340,4,28,,,,,,"42,43",
341,341,5,28,,,,,,"42,43",
342,342,6,28,,,,,,"42,43",
343,343,7,28,,,,,,"42,43",
344,344,8,28,,,,,,"42,43",
345,345,9,28,,,,,,"42,43",
346,346,10,28,,,,,,"42,43",
347,347,11,28,,,,,,"42,43",
348,348,0,29,,,,,,"45,47",
349,349,1,29,245.21247842503868,383.7112875841634,5.372655376723593,3.0796125164479813,2.61499743028956,"45,47",1.676268477537761
350,350,2,29,,,,,,"45,47",
351,351,3,29,,,,,,"45,47",
352,352,4,29,,,,,,"45,47",
353,353,5,29,,,,,,"45,47",
354,354,6,29,,,,,,"45,47",
355,355,7,29,,,,,,"45,47",
356,356,8,29,,,,,,"45,47",
357,357,9,29,,,,,,"45,47",
358,358,10,29,,,,,,"45,47",
359,359,11,29,,,,,,"45,47",
360,360,0,30,,,,,,"46,48",
361,361,1,30,249.99968428960568,394.5188440785447,5.69076594801917,7.392880818261423,2.3583286941100168,"46,48",1.775518975781981
362,362,2,30,,,,,,"46,48",
363,363,3,30,,,,,,"46,48",
364,364,4,30,,,,,,"46,48",
365,365,5,30,,,,,,"46,48",
366,366,6,30,,,,,,"46,48",
367,367,7,30,,,,,,"46,48",
368,368,8,30,,,,,,"46,48",
369,369,9,30,,,,,,"46,48",
370,370,10,30,,,,,,"46,48",
371,371,11,30,,,,,,"46,48",
372,372,0,31,,,,,,"46,47",
373,373,1,31,247.2773002586584,389.2681227593519,6.624923598458267,5.981014813596134,2.924123716822902,"46,47",2.066976162718979
374,374,2,31,,,,,,"46,47",
375,375,3,31,,,,,,"46,47",
376,376,4,31,,,,,,"46,47",
377,377,5,31,,,,,,"46,47",
378,378,6,31,,,,,,"46,47",
379,379,7,31,,,,,,"46,47",
380,380,8,31,,,,,,"46,47",
381,381,9,31,,,,,,"46,47",
382,382,10,31,,,,,,"46,47",
383,383,11,31,,,,,,"46,47",
384,384,0,32,,,,,,"48,50",
385,385,1,32,253.77527013376917,398.5942135117778,5.427819263870881,4.979813171190448,2.432138229262445,"48,50",1.693479610327715
386,386,2,32,,,,,,"48,50",
387,387,3,32,,,,,,"48,50",
388,388,4,32,,,,,,"48,50",
389,389,5,32,,,,,,"48,50",
390,390,6,32,,,,,,"48,50",
391,391,7,32,,,,,,"48,50",
392,392,8,32,,,,,,"48,50",
393,393,9,32,,,,,,"48,50",
394,394,10,32,,,,,,"48,50",
395,395,11,32,,,,,,"48,50",
396,396,0,33,,,,,,"50,51",
397,397,1,33,257.291598916876,402.8842045917039,5.668840811905536,3.477810791843628,2.4768486465175066,"50,51",1.7686783333145273
398,398,2,33,,,,,,"50,51",
399,399,3,33,,,,,,"50,51",
400,400,4,33,,,,,,"50,51",
401,401,5,33,,,,,,"50,51",
402,402,6,33,,,,,,"50,51",
403,403,7,33,,,,,,"50,51",
404,404,8,33,,,,,,"50,51",
405,405,9,33,,,,,,"50,51",
406,406,10,33,,,,,,"50,51",
407,407,11,33,,,,,,"50,51",
408,408,0,34,,,,,,"51,55",
409,409,1,34,261.26663602738245,407.307961932554,6.250242248645312,3.289712733031033,2.3485587590348125,"51,55",1.9500755815773374
410,410,2,34,,,,,,"51,55",
411,411,3,34,,,,,,"51,55",
412,412,4,34,,,,,,"51,55",
413,413,5,34,,,,,,"51,55",
414,414,6,34,,,,,,"51,55",
415,415,7,34,,,,,,"51,55",
416,416,8,34,,,,,,"51,55",
417,417,9,34,,,,,,"51,55",
418,418,10,34,,,,,,"51,55",
419,419,11,34,,,,,,"51,55",
420,420,0,35,,,,,,"52,54",
421,421,1,35,262.18961303960504,378.6946783876755,5.5066108392807385,5.778573675127822,2.226561300224158,"52,54",1.7180625818555904
422,422,2,35,,,,,,"52,54",
423,423,3,35,,,,,,"52,54",
424,424,4,35,,,,,,"52,54",
425,425,5,35,,,,,,"52,54",
426,426,6,35,,,,,,"52,54",
427,427,7,35,,,,,,"52,54",
428,428,8,35,,,,,,"52,54",
429,429,9,35,,,,,,"52,54",
430,430,10,35,,,,,,"52,54",
431,431,11,35,,,,,,"52,54",
432,432,0,36,,,,,,"53,57",
433,433,1,36,264.3562252346505,401.8253241213884,6.964344956354887,4.717501568540969,2.536314423169979,"53,57",2.1728756263827247
434,434,2,36,,,,,,"53,57",
435,435,3,36,,,,,,"53,57",
436,436,4,36,,,,,,"53,57",
437,437,5,36,,,,,,"53,57",
438,438,6,36,,,,,,"53,57",
439,439,7,36,,,,,,"53,57",
440,440,8,36,,,,,,"53,57",
441,441,9,36,,,,,,"53,57",
442,442,10,36,,,,,,"53,57",
443,443,11,36,,,,,,"53,57",
444,444,0,37,,,,,,"54,56",
445,445,1,37,266.2080041022398,382.4637933851674,5.564402860720541,8.34115067663263,2.420812829796028,"54,56",1.736093692544809
446,446,2,37,,,,,,"54,56",
447,447,3,37,,,,,,"54,56",
448,448,4,37,,,,,,"54,56",
449,449,5,37,,,,,,"54,56",
450,450,6,37,,,,,,"54,56",
451,451,7,37,,,,,,"54,56",
452,452,8,37,,,,,,"54,56",
453,453,9,37,,,,,,"54,56",
454,454,10,37,,,,,,"54,56",
455,455,11,37,,,,,,"54,56",
456,456,0,38,,,,,,"55,58",
457,457,1,38,265.3025201402781,412.01445801916526,6.194152284122458,4.022601506426386,2.5177109422083364,"55,58",1.9325755126462068
458,458,2,38,,,,,,"55,58",
459,459,3,38,,,,,,"55,58",
460,460,4,38,,,,,,"55,58",
461,461,5,38,,,,,,"55,58",
462,462,6,38,,,,,,"55,58",
463,463,7,38,,,,,,"55,58",
464,464,8,38,,,,,,"55,58",
465,465,9,38,,,,,,"55,58",
466,466,10,38,,,,,,"55,58",
467,467,11,38,,,,,,"55,58",
468,468,0,39,,,,,,"56,59",
469,469,1,39,269.0520693482583,387.3112703899546,5.871349102868795,8.67667053330539,2.791136683195811,"56,59",1.831860920095064
470,470,2,39,,,,,,"56,59",
471,471,3,39,,,,,,"56,59",
472,472,4,39,,,,,,"56,59",
473,473,5,39,,,,,,"56,59",
474,474,6,39,,,,,,"56,59",
475,475,7,39,,,,,,"56,59",
476,476,8,39,,,,,,"56,59",
477,477,9,39,,,,,,"56,59",
478,478,10,39,,,,,,"56,59",
479,479,11,39,,,,,,"56,59",
480,480,0,40,,,,,,"57,63",
481,481,1,40,268.8847692953185,406.83931976988606,6.667165598418664,4.178558894233705,2.2719341330009666,"57,63",2.080155666706623
482,482,2,40,,,,,,"57,63",
483,483,3,40,,,,,,"57,63",
484,484,4,40,,,,,,"57,63",
485,485,5,40,,,,,,"57,63",
486,486,6,40,,,,,,"57,63",
487,487,7,40,,,,,,"57,63",
488,488,8,40,,,,,,"57,63",
489,489,9,40,,,,,,"57,63",
490,490,10,40,,,,,,"57,63",
491,491,11,40,,,,,,"57,63",
492,492,0,41,,,,,,"59,60",
493,493,1,41,270.9698810585732,392.5252279807539,5.23963553085855,8.327407157421948,2.786879795988946,"59,60",1.6347662856278675
494,494,2,41,,,,,,"59,60",
495,495,3,41,,,,,,"59,60",
496,496,4,41,,,,,,"59,60",
497,497,5,41,,,,,,"59,60",
498,498,6,41,,,,,,"59,60",
499,499,7,41,,,,,,"59,60",
500,500,8,41,,,,,,"59,60",
501,501,9,41,,,,,,"59,60",
502,502,10,41,,,,,,"59,60",
503,503,11,41,,,,,,"59,60",
504,504,0,42,,,,,,"61,65",
505,505,1,42,273.4727455758877,377.6761531377998,5.977764754659976,4.276682306779108,2.174162423420225,"61,65",1.8650626034539124
506,506,2,42,,,,,,"61,65",
507,507,3,42,,,,,,"61,65",
508,508,4,42,,,,,,"61,65",
509,509,5,42,,,,,,"61,65",
510,510,6,42,,,,,,"61,65",
511,511,7,42,,,,,,"61,65",
512,512,8,42,,,,,,"61,65",
513,513,9,42,,,,,,"61,65",
514,514,10,42,,,,,,"61,65",
515,515,11,42,,,,,,"61,65",
516,516,0,43,,,,,,"63,64",
517,517,1,43,272.30670676793466,412.3207932417344,6.88791148466008,3.898875385271412,2.8847930775460853,"63,64",2.149028383213945
518,518,2,43,,,,,,"63,64",
519,519,3,43,,,,,,"63,64",
520,520,4,43,,,,,,"63,64",
521,521,5,43,,,,,,"63,64",
522,522,6,43,,,,,,"63,64",
523,523,7,43,,,,,,"63,64",
524,524,8,43,,,,,,"63,64",
525,525,9,43,,,,,,"63,64",
526,526,10,43,,,,,,"63,64",
527,527,11,43,,,,,,"63,64",
528,528,0,44,,,,,,"65,68",
529,529,1,44,277.38807788954745,382.17492508291264,6.3152294486917135,4.181939967987589,2.662993437315743,"65,68",1.9703515879918145
530,530,2,44,,,,,,"65,68",
531,531,3,44,,,,,,"65,68",
532,532,4,44,,,,,,"65,68",
533,533,5,44,,,,,,"65,68",
534,534,6,44,,,,,,"65,68",
535,535,7,44,,,,,,"65,68",
536,536,8,44,,,,,,"65,68",
537,537,9,44,,,,,,"65,68",
538,538,10,44,,,,,,"65,68",
539,539,11,44,,,,,,"65,68",
540,540,0,45,,,,,,"67,74",
541,541,1,45,280.63578408514275,419.8905979510466,6.131716583957441,5.857473555957677,1.656044767130808,"67,74",1.9130955741947215
542,542,2,45,,,,,,"67,74",
543,543,3,45,,,,,,"67,74",
544,544,4,45,,,,,,"67,74",
545,545,5,45,,,,,,"67,74",
546,546,6,45,,,,,,"67,74",
547,547,7,45,,,,,,"67,74",
548,548,8,45,,,,,,"67,74",
549,549,9,45,,,,,,"67,74",
550,550,10,45,,,,,,"67,74",
551,551,11,45,,,,,,"67,74",
552,552,0,46,,,,,,"68,72",
553,553,1,46,280.68107997570087,387.03861747424094,5.523900762801159,3.8479338281507096,2.413075903368507,"68,72",1.7234570379939618
554,554,2,46,,,,,,"68,72",
555,555,3,46,,,,,,"68,72",
556,556,4,46,,,,,,"68,72",
557,557,5,46,,,,,,"68,72",
558,558,6,46,,,,,,"68,72",
559,559,7,46,,,,,,"68,72",
560,560,8,46,,,,,,"68,72",
561,561,9,46,,,,,,"68,72",
562,562,10,46,,,,,,"68,72",
563,563,11,46,,,,,,"68,72",
564,564,0,47,,,,,,"69,71",
565,565,1,47,282.1625865604232,377.4786880153949,5.573792238295274,6.18971635574583,2.5286585979949203,"69,71",1.7390231783481256
566,566,2,47,,,,,,"69,71",
567,567,3,47,,,,,,"69,71",
568,568,4,47,,,,,,"69,71",
569,569,5,47,,,,,,"69,71",
570,570,6,47,,,,,,"69,71",
571,571,7,47,,,,,,"69,71",
572,572,8,47,,,,,,"69,71",
573,573,9,47,,,,,,"69,71",
574,574,10,47,,,,,,"69,71",
575,575,11,47,,,,,,"69,71",
576,576,0,48,,,,,,"70,73",
577,577,1,48,281.64579779431176,401.5964797596847,4.081828363313519,3.300985195473194,0.8362279651092144,"70,73",1.2735304493538178
578,578,2,48,,,,,,"70,73",
579,579,3,48,,,,,,"70,73",
580,580,4,48,,,,,,"70,73",
581,581,5,48,,,,,,"70,73",
582,582,6,48,,,,,,"70,73",
583,583,7,48,,,,,,"70,73",
584,584,8,48,,,,,,"70,73",
585,585,9,48,,,,,,"70,73",
586,586,10,48,,,,,,"70,73",
587,587,11,48,,,,,,"70,73",
588,588,0,49,,,,,,"71,78",
589,589,1,49,286.1641069787345,381.1708257860904,5.566750378156651,8.410849082031541,2.103075179209349,"71,78",1.736826117984875
590,590,2,49,,,,,,"71,78",
